COUNTY_CODE|STATENAME|COUNTY|MA_REGION_CODE|MA_REGION|PDP_REGION_CODE|PDP_REGION
06380|Colorado|Mesa|20|Colorado and New Mexico|27|Colorado
06390|Colorado|Mineral|20|Colorado and New Mexico|27|Colorado
06400|Colorado|Moffat|20|Colorado and New Mexico|27|Colorado
06410|Colorado|Montezuma|20|Colorado and New Mexico|27|Colorado
06420|Colorado|Montrose|20|Colorado and New Mexico|27|Colorado
06430|Colorado|Morgan|20|Colorado and New Mexico|27|Colorado
06440|Colorado|Otero|20|Colorado and New Mexico|27|Colorado
06450|Colorado|Ouray|20|Colorado and New Mexico|27|Colorado
06460|Colorado|Park|20|Colorado and New Mexico|27|Colorado
06470|Colorado|Phillips|20|Colorado and New Mexico|27|Colorado
06480|Colorado|Pitkin|20|Colorado and New Mexico|27|Colorado
06490|Colorado|Prowers|20|Colorado and New Mexico|27|Colorado
06500|Colorado|Pueblo|20|Colorado and New Mexico|27|Colorado
06510|Colorado|Rio Blanco|20|Colorado and New Mexico|27|Colorado
06520|Colorado|Rio Grande|20|Colorado and New Mexico|27|Colorado
06530|Colorado|Routt|20|Colorado and New Mexico|27|Colorado
06540|Colorado|Saguache|20|Colorado and New Mexico|27|Colorado
06550|Colorado|San Juan|20|Colorado and New Mexico|27|Colorado
06560|Colorado|San Miguel|20|Colorado and New Mexico|27|Colorado
06570|Colorado|Sedgwick|20|Colorado and New Mexico|27|Colorado
06580|Colorado|Summit|20|Colorado and New Mexico|27|Colorado
06590|Colorado|Teller|20|Colorado and New Mexico|27|Colorado
06600|Colorado|Washington|20|Colorado and New Mexico|27|Colorado
06610|Colorado|Weld|20|Colorado and New Mexico|27|Colorado
06620|Colorado|Yuma|20|Colorado and New Mexico|27|Colorado
06630|Colorado|Broomfield|20|Colorado and New Mexico|27|Colorado
07000|Connecticut|Fairfield|02|Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)|02|Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)
07010|Connecticut|Hartford|02|Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)|02|Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)
07020|Connecticut|Litchfield|02|Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)|02|Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)
07030|Connecticut|Middlesex|02|Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)|02|Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)
07040|Connecticut|New Haven|02|Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)|02|Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)
07050|Connecticut|New London|02|Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)|02|Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)
07060|Connecticut|Tolland|02|Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)|02|Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)
07070|Connecticut|Windham|02|Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)|02|Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)
08000|Delaware|Kent|05|Mid-Atlantic (Delaware, District of Columbia and Maryland)|05|Mid-Atlantic (Delaware, District of Columbia and Maryland)
08010|Delaware|New Castle|05|Mid-Atlantic (Delaware, District of Columbia and Maryland)|05|Mid-Atlantic (Delaware, District of Columbia and Maryland)
08020|Delaware|Sussex|05|Mid-Atlantic (Delaware, District of Columbia and Maryland)|05|Mid-Atlantic (Delaware, District of Columbia and Maryland)
09000|Washington D.C.|District of Columbia|05|Mid-Atlantic (Delaware, District of Columbia and Maryland)|05|Mid-Atlantic (Delaware, District of Columbia and Maryland)
10000|Florida|Alachua|09|Florida|11|Florida
10010|Florida|Baker|09|Florida|11|Florida
10020|Florida|Bay|09|Florida|11|Florida
10030|Florida|Bradford|09|Florida|11|Florida
10040|Florida|Brevard|09|Florida|11|Florida
10050|Florida|Broward|09|Florida|11|Florida
10060|Florida|Calhoun|09|Florida|11|Florida
10070|Florida|Charlotte|09|Florida|11|Florida
10080|Florida|Citrus|09|Florida|11|Florida
10090|Florida|Clay|09|Florida|11|Florida
10100|Florida|Collier|09|Florida|11|Florida
10110|Florida|Columbia|09|Florida|11|Florida
10120|Florida|Miami-Dade|09|Florida|11|Florida
10130|Florida|DeSoto|09|Florida|11|Florida
10140|Florida|Dixie|09|Florida|11|Florida
10150|Florida|Duval|09|Florida|11|Florida
10160|Florida|Escambia|09|Florida|11|Florida
10170|Florida|Flagler|09|Florida|11|Florida
10180|Florida|Franklin|09|Florida|11|Florida
10190|Florida|Gadsden|09|Florida|11|Florida
10200|Florida|Gilchrist|09|Florida|11|Florida
10210|Florida|Glades|09|Florida|11|Florida
10220|Florida|Gulf|09|Florida|11|Florida
10230|Florida|Hamilton|09|Florida|11|Florida
10240|Florida|Hardee|09|Florida|11|Florida
10250|Florida|Hendry|09|Florida|11|Florida
10260|Florida|Hernando|09|Florida|11|Florida
10270|Florida|Highlands|09|Florida|11|Florida
10280|Florida|Hillsborough|09|Florida|11|Florida
10290|Florida|Holmes|09|Florida|11|Florida
10300|Florida|Indian River|09|Florida|11|Florida
10310|Florida|Jackson|09|Florida|11|Florida
10320|Florida|Jefferson|09|Florida|11|Florida
10330|Florida|Lafayette|09|Florida|11|Florida
10340|Florida|Lake|09|Florida|11|Florida
10350|Florida|Lee|09|Florida|11|Florida
10360|Florida|Leon|09|Florida|11|Florida
