CONTRACT_ID|PLAN_ID|SEGMENT_ID|RXCUI|COPAY
H0028|023|000|1670016|35
H0028|023|000|1670023|35
H0028|023|000|1859000|35
H0028|023|000|1860172|35
H0028|023|000|1986354|35
H0028|023|000|1986356|35
H0028|023|000|2002420|35
H0028|023|000|2049380|35
H0028|023|000|2107522|35
H0028|023|000|2205454|35
H0028|023|000|2206092|35
H0028|023|000|2206099|35
H0028|024|000|213442|35
H0028|024|000|285018|35
H0028|024|000|311027|35
H0028|024|000|311033|35
H0028|024|000|351926|35
H0028|024|000|616238|35
H0028|024|000|847232|35
H0028|024|000|847241|35
H0028|024|000|977840|35
H0028|024|000|977842|35
H0028|024|000|1604544|35
H0028|024|000|1653198|35
H0028|024|000|1653204|35
H0028|024|000|1670016|35
H0028|024|000|1670023|35
H0028|024|000|1859000|35
H0028|024|000|1860172|35
H0028|024|000|1986354|35
H0028|024|000|1986356|35
H0028|024|000|2002420|35
H0028|024|000|2049380|35
H0028|024|000|2107522|35
H0028|024|000|2205454|35
H0028|024|000|2206092|35
H0028|024|000|2206099|35
H0028|025|001|213442|35
H0028|025|001|285018|35
H0028|025|001|311027|35
H0028|025|001|311033|35
H0028|025|001|351926|35
H0028|025|001|616238|35
H0028|025|001|847232|35
H0028|025|001|847241|35
H0028|025|001|977840|35
H0028|025|001|977842|35
H0028|025|001|1604544|35
H0028|025|001|1653198|35
H0028|025|001|1653204|35
H0028|025|001|1670016|35
H0028|025|001|1670023|35
H0028|025|001|1859000|35
H0028|025|001|1860172|35
H0028|025|001|1986354|35
H0028|025|001|1986356|35
H0028|025|001|2002420|35
H0028|025|001|2049380|35
H0028|025|001|2107522|35
H0028|025|001|2205454|35
H0028|025|001|2206092|35
H0028|025|001|2206099|35
H0028|025|002|213442|35
H0028|025|002|285018|35
H0028|025|002|311027|35
H0028|025|002|311033|35
H0028|025|002|351926|35
H0028|025|002|616238|35
H0028|025|002|847232|35
H0028|025|002|847241|35
H0028|025|002|977840|35
H0028|025|002|977842|35
H0028|025|002|1604544|35
H0028|025|002|1653198|35
H0028|025|002|1653204|35
H0028|025|002|1670016|35
H0028|025|002|1670023|35
H0028|025|002|1859000|35
H0028|025|002|1860172|35
H0028|025|002|1986354|35
H0028|025|002|1986356|35
H0028|025|002|2002420|35
H0028|025|002|2049380|35
H0028|025|002|2107522|35
H0028|025|002|2205454|35
H0028|025|002|2206092|35
H0028|025|002|2206099|35
H0028|027|000|213442|35
H0028|027|000|285018|35
H0028|027|000|311027|35
H0028|027|000|311033|35
H0028|027|000|351926|35
H0028|027|000|616238|35
H0028|027|000|847232|35
H0028|027|000|847241|35
H0028|027|000|977840|35
H0028|027|000|977842|35
H0028|027|000|1604544|35
H0028|027|000|1653198|35
H0028|027|000|1653204|35
H0028|027|000|1670016|35
H0028|027|000|1670023|35
H0028|027|000|1859000|35
H0028|027|000|1860172|35
H0028|027|000|1986354|35
H0028|027|000|1986356|35
H0028|027|000|2002420|35
